# Reciprocal lattice vectors (tpiba units)
               b(1) = (  1.000000  0.577350 -0.000000 )  
               b(2) = (  0.000000  1.154701  0.000000 )  
               b(3) = (  0.000000 -0.000000  0.166667 )  


# 72x72x1 set
        k(   73) = (   0.0277778   0.0481125   0.0000000), wk =   0.0023148
        k(   74) = (   0.0277778   0.0641500   0.0000000), wk =   0.0046296
        k(   75) = (   0.0277778   0.0801875   0.0000000), wk =   0.0046296
        k(   76) = (   0.0277778   0.0962250   0.0000000), wk =   0.0046296
        k(   77) = (   0.0277778   0.1122626   0.0000000), wk =   0.0046296
        k(   78) = (   0.0277778   0.1283001   0.0000000), wk =   0.0046296
        k(   79) = (   0.0277778   0.1443376   0.0000000), wk =   0.0046296
        k(   80) = (   0.0277778   0.1603751   0.0000000), wk =   0.0046296
        k(   81) = (   0.0277778   0.1764126   0.0000000), wk =   0.0046296
        k(   82) = (   0.0277778   0.1924501   0.0000000), wk =   0.0046296
        k(   83) = (   0.0277778   0.2084876   0.0000000), wk =   0.0046296
        k(   84) = (   0.0277778   0.2245251   0.0000000), wk =   0.0046296
        k(   85) = (   0.0277778   0.2405626   0.0000000), wk =   0.0046296
        k(   86) = (   0.0277778   0.2566001   0.0000000), wk =   0.0046296
        k(   87) = (   0.0277778   0.2726376   0.0000000), wk =   0.0046296
        k(   88) = (   0.0277778   0.2886751   0.0000000), wk =   0.0046296
        k(   89) = (   0.0277778   0.3047126   0.0000000), wk =   0.0046296
        k(   90) = (   0.0277778   0.3207501   0.0000000), wk =   0.0046296
        k(   91) = (   0.0277778   0.3367877   0.0000000), wk =   0.0046296
        k(   92) = (   0.0277778   0.3528252   0.0000000), wk =   0.0046296
        k(   93) = (   0.0277778   0.3688627   0.0000000), wk =   0.0046296
        k(   94) = (   0.0277778   0.3849002   0.0000000), wk =   0.0046296
        k(   95) = (   0.0277778   0.4009377   0.0000000), wk =   0.0046296
        k(   96) = (   0.0277778   0.4169752   0.0000000), wk =   0.0046296
        k(   97) = (   0.0277778   0.4330127   0.0000000), wk =   0.0046296
        k(   98) = (   0.0277778   0.4490502   0.0000000), wk =   0.0046296
        k(   99) = (   0.0277778   0.4650877   0.0000000), wk =   0.0046296
        k(  100) = (   0.0277778   0.4811252   0.0000000), wk =   0.0046296
        k(  101) = (   0.0277778   0.4971627   0.0000000), wk =   0.0046296
        k(  102) = (   0.0277778   0.5132002   0.0000000), wk =   0.0046296
        k(  103) = (   0.0277778   0.5292377   0.0000000), wk =   0.0046296
        k(  104) = (   0.0277778   0.5452753   0.0000000), wk =   0.0046296
        k(  105) = (   0.0277778   0.5613128   0.0000000), wk =   0.0046296
        k(  106) = (   0.0277778   0.5773503   0.0000000), wk =   0.0023148
        k(  107) = (   0.0416667   0.0721688   0.0000000), wk =   0.0023148
        k(  108) = (   0.0416667   0.0882063   0.0000000), wk =   0.0046296
        k(  109) = (   0.0416667   0.1042438   0.0000000), wk =   0.0046296
        k(  110) = (   0.0416667   0.1202813   0.0000000), wk =   0.0046296
        k(  111) = (   0.0416667   0.1363188   0.0000000), wk =   0.0046296
        k(  112) = (   0.0416667   0.1523563   0.0000000), wk =   0.0046296
        k(  113) = (   0.0416667   0.1683938   0.0000000), wk =   0.0046296
        k(  114) = (   0.0416667   0.1844313   0.0000000), wk =   0.0046296
        k(  115) = (   0.0416667   0.2004688   0.0000000), wk =   0.0046296
        k(  116) = (   0.0416667   0.2165064   0.0000000), wk =   0.0046296
        k(  117) = (   0.0416667   0.2325439   0.0000000), wk =   0.0046296
        k(  118) = (   0.0416667   0.2485814   0.0000000), wk =   0.0046296
        k(  119) = (   0.0416667   0.2646189   0.0000000), wk =   0.0046296
        k(  120) = (   0.0416667   0.2806564   0.0000000), wk =   0.0046296
        k(  121) = (   0.0416667   0.2966939   0.0000000), wk =   0.0046296
        k(  122) = (   0.0416667   0.3127314   0.0000000), wk =   0.0046296
        k(  123) = (   0.0416667   0.3287689   0.0000000), wk =   0.0046296
