        0.0000000000        0.0009625211
        0.0004330127        0.0009633049
        0.0008660254        0.0009656617
        0.0012990381        0.0009696002
        0.0017320508        0.0009751292
        0.0021650635        0.0009822578
        0.0025980762        0.0009909954
        0.0030310889        0.0010013520
        0.0034641016        0.0010133377
        0.0038971143        0.0010269629
        0.0043301270        0.0010422383
        0.0047631397        0.0010591751
        0.0051961524        0.0010777846
        0.0056291651        0.0010980785
        0.0060621778        0.0011200688
        0.0064951905        0.0011437677
        0.0069282032        0.0011691879
        0.0073612159        0.0011963420
        0.0077942286        0.0012252433
        0.0082272413        0.0012559051
        0.0086602540        0.0012883412
        0.0090932667        0.0013225653
        0.0095262794        0.0013585917
        0.0099592921        0.0013964347
        0.0103923048        0.0014361091
        0.0108253175        0.0014776297
        0.0112583302        0.0015210116
        0.0116913430        0.0015662701
        0.0121243557        0.0016134209
        0.0125573684        0.0016624795
        0.0129903811        0.0017134620
        0.0134233938        0.0017663844
        0.0138564065        0.0018212630
        0.0142894192        0.0018781144
        0.0147224319        0.0019369551
        0.0151554446        0.0019978019
        0.0155884573        0.0020606716
        0.0160214700        0.0021255814
        0.0164544827        0.0021925484
        0.0168874954        0.0022615898
        0.0173205081        0.0023327230
        0.0177535208        0.0024059654
        0.0181865335        0.0024813347
        0.0186195462        0.0025588483
        0.0190525589        0.0026385241
        0.0194855716        0.0027203795
        0.0199185843        0.0028044325
        0.0203515970        0.0028907007
        0.0207846097        0.0029792020
        0.0212176224        0.0030699541
        0.0216506351        0.0031629748
        0.0220836478        0.0032582819
        0.0225166605        0.0033558930
        0.0229496732        0.0034558258
        0.0233826859        0.0035580980
        0.0238156986        0.0036627271
        0.0242487113        0.0037697305
        0.0246817240        0.0038791257
        0.0251147367        0.0039909298
        0.0255477494        0.0041051601
        0.0259807621        0.0042218336
        0.0264137748        0.0043409670
        0.0268467875        0.0044625773
        0.0272798002        0.0045866808
        0.0277128129        0.0047132940
        0.0281458256        0.0048424331
        0.0285788383        0.0049741141
        0.0290118510        0.0051083527
        0.0294448637        0.0052451644
        0.0298778764        0.0053845646
        0.0303108891        0.0055265683
        0.0307439018        0.0056711903
        0.0311769145        0.0058184451
        0.0316099272        0.0059683468
        0.0320429399        0.0061209095
        0.0324759526        0.0062761466
        0.0329089653        0.0064340716
        0.0333419780        0.0065946972
        0.0337749907        0.0067580361
        0.0342080034        0.0069241006
        0.0346410162        0.0070929024
        0.0350740289        0.0072644531
        0.0355070416        0.0074387636
        0.0359400543        0.0076158448
        0.0363730670        0.0077957068
        0.0368060797        0.0079783595
        0.0372390924        0.0081638121
        0.0376721051        0.0083520738
        0.0381051178        0.0085431529
        0.0385381305        0.0087370575
        0.0389711432        0.0089337950
        0.0394041559        0.0091333725
        0.0398371686        0.0093357965
        0.0402701813        0.0095410731
        0.0407031940        0.0097492078
        0.0411362067        0.0099602054
        0.0415692194        0.0101740705
        0.0420022321        0.0103908069
        0.0424352448        0.0106104179
        0.0428682575        0.0108329064
        0.0433012702        0.0110582745
        0.0437342829        0.0112865238
        0.0441672956        0.0115176553
        0.0446003083        0.0117516695
        0.0450333210        0.0119885662
        0.0454663337        0.0122283446
        0.0458993464        0.0124710033
        0.0463323591        0.0127165402
        0.0467653718        0.0129649527
        0.0471983845        0.0132162376
        0.0476313972        0.0134703908
        0.0480644099        0.0137274078
        0.0484974226        0.0139872834
        0.0489304353        0.0142500116
        0.0493634480        0.0145155859
        0.0497964607        0.0147839991
        0.0502294734        0.0150552433
        0.0506624861        0.0153293099
        0.0510954988        0.0156061897
        0.0515285115        0.0158858727
        0.0519615242        0.0161683483
        0.0523945369        0.0164536053
        0.0528275496        0.0167416317
        0.0532605623        0.0170324147
        0.0536935750        0.0173259410
        0.0541265877        0.0176221965
        0.0545596004        0.0179211666
        0.0549926131        0.0182228356
        0.0554256258        0.0185271875
        0.0558586385        0.0188342054
        0.0562916512        0.0191438718
        0.0567246639        0.0194561684
        0.0571576766        0.0197710763
        0.0575906894        0.0200885759
        0.0580237021        0.0204086467
        0.0584567148        0.0207312678
        0.0588897275        0.0210564175
        0.0593227402        0.0213840734
        0.0597557529        0.0217142124
        0.0601887656        0.0220468108
        0.0606217783        0.0223818440
        0.0610547910        0.0227192870
        0.0614878037        0.0230591139
        0.0619208164        0.0234012984
        0.0623538291        0.0237458133
        0.0627868418        0.0240926307
        0.0632198545        0.0244417223
        0.0636528672        0.0247930590
        0.0640858799        0.0251466111
        0.0645188926        0.0255023481
        0.0649519053        0.0258602392
        0.0653849180        0.0262202525
        0.0658179307        0.0265823560
        0.0662509434        0.0269465168
        0.0666839561        0.0273127014
        0.0671169688        0.0276808758
        0.0675499815        0.0280510052
        0.0679829942        0.0284230546
        0.0684160069        0.0287969881
        0.0688490196        0.0291727693
        0.0692820323        0.0295503614
        0.0697150450        0.0299297268
        0.0701480577        0.0303108277
        0.0705810704        0.0306936253
        0.0710140831        0.0310780809
        0.0714470958        0.0314641546
        0.0718801085        0.0318518066
        0.0723131212        0.0322409963
        0.0727461339        0.0326316827
        0.0731791466        0.0330238243
        0.0736121593        0.0334173792
        0.0740451720        0.0338123050
        0.0744781847        0.0342085590
        0.0749111974        0.0346060978
        0.0753442101        0.0350048779
        0.0757772228        0.0354048552
        0.0762102355        0.0358059854
        0.0766432482        0.0362082236
        0.0770762609        0.0366115247
        0.0775092736        0.0370158432
        0.0779422863        0.0374211334
        0.0783752990        0.0378273490
        0.0788083117        0.0382344436
        0.0792413244        0.0386423704
        0.0796743371        0.0390510826
        0.0801073499        0.0394605327
