# cell(A)	HOMO	LUMO	Gap (eV)
3		-2.2160 7.9349 10.1509
4		-6.9122 1.3485 8.2607
5		-7.7978 -0.5526 7.2452
6		-8.2633 -1.2860 6.9773
7		-8.5544 -1.6489 6.9055
8		-8.7378 -1.8532 6.8846
10		-8.9291 -2.0535 6.8756
12		-9.0154 -2.1410 6.8744
15		-9.0734 -2.1992 6.8742
