al001_3x3_relaxed_40Ry.out_gamma:!     total energy =   -1420.92384771 Ry
al001_3x3_relaxed_40Ry.out_221110:!    total energy =   -1421.40632976 Ry
al001_3x3_relaxed_40Ry.out_441110:!    total energy =   -1421.45193505 Ry
al001_3x3_relaxed_40Ry.out_661110:!    total energy =   -1421.45799784 Ry
al001_3x3_relaxed_40Ry.out_881110:!    total energy =   -1421.45753970 Ry
al001_3x3_relaxed_40Ry.out_12121110:!  total energy =   -1421.45755059 Ry
