# cutoff(Ry) alat(bohr) energy(Ry)
20		3.81543255		-15.7386685318
40		3.82318492		-15.7433489561
60		3.82404525		-15.7437132734
80		3.82408885		-15.7437198273
100		3.82408457		-15.7437201937
