# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.050000000 -320.922002712 -320.922027456    1.463643016
    0.060000000 -220.779958136 -220.779975555    1.463645983
    0.070000000 -160.390396022 -160.390409025    1.463649491
    0.080000000 -121.187858361 -121.187868497    1.463653538
    0.090000000  -94.303039045  -94.303047215    1.463658125
    0.100000000  -75.064505851  -75.064512616    1.463663252
    0.110000000  -60.821893274  -60.821898998    1.463668919
    0.120000000  -49.980641190  -49.980646123    1.463675125
    0.130000000  -41.534701208  -41.534705526    1.463681872
    0.140000000  -34.823868751  -34.823872579    1.463689158
    0.150000000  -29.400306108  -29.400309542    1.463696984
    0.160000000  -24.951512158  -24.951515269    1.463705351
    0.170000000  -21.254017862  -21.254020705    1.463714257
    0.180000000  -18.144558249  -18.144560868    1.463723704
    0.190000000  -15.501568835  -15.501571264    1.463733691
    0.200000000  -13.232986182  -13.232988449    1.463744218
    0.210000000  -11.268011290  -11.268013416    1.463755286
    0.220000000   -9.551429042   -9.551431047    1.463766894
    0.230000000   -8.039614671   -8.039616570    1.463779043
    0.240000000   -6.697676894   -6.697678700    1.463791732
    0.250000000   -5.497381387   -5.497383110    1.463804963
    0.260000000   -4.415619269   -4.415620918    1.463818734
    0.270000000   -3.433262526   -3.433264110    1.463833046
    0.280000000   -2.534298803   -2.534300329    1.463847899
    0.290000000   -1.705171943   -1.705173416    1.463863294
    0.300000000   -0.934278451   -0.934279875    1.463879229
    0.310000000   -0.211587989   -0.211589369    1.463895707
    0.320000000    0.471628606    0.471627265    1.463912725
    0.330000000    1.122964278    1.122962975    1.463930286
    0.340000000    1.748913482    1.748912212    1.463948388
    0.350000000    2.354730999    2.354729761    1.463967033
    0.360000000    2.944008025    2.944006817    1.463986219
    0.370000000    3.517772513    3.517771333    1.464005948
    0.380000000    4.072771441    4.072770287    1.464026219
    0.390000000    4.598362242    4.598361115    1.464047033
    0.400000000    5.071164622    5.071163522    1.464068389
    0.410000000    5.446592450    5.446591378    1.464090288
    0.420000000    5.647710006    5.647708966    1.464112731
    0.430000000    5.557480721    5.557479715    1.464135716
    0.440000000    5.034352910    5.034351938    1.464159245
    0.450000000    3.985242932    3.985241984    1.464183318
    0.460000000    2.494673002    2.494672049    1.464207934
    0.470000000    0.883070253    0.883069261    1.464233095
    0.480000000   -0.456150632   -0.456151684    1.464258799
    0.490000000   -1.303644053   -1.303645163    1.464285048
    0.500000000   -1.671600369   -1.671601517    1.464311841
    0.510000000   -1.689355150   -1.689356318    1.464339180
    0.520000000   -1.492951919   -1.492953093    1.464367063
    0.530000000   -1.182150198   -1.182151370    1.464395491
    0.540000000   -0.819079963   -0.819081128    1.464424464
    0.550000000   -0.438971857   -0.438973013    1.464453984
    0.560000000   -0.060390617   -0.060391765    1.464484049
    0.570000000    0.307740790    0.307739651    1.464514660
    0.580000000    0.661868870    0.661867738    1.464545817
    0.590000000    1.001348056    1.001346931    1.464577521
    0.600000000    1.327058259    1.327057138    1.464609772
    0.610000000    1.640636186    1.640635069    1.464642570
    0.620000000    1.944044298    1.944043183    1.464675915
    0.630000000    2.239314619    2.239313506    1.464709807
    0.640000000    2.528365364    2.528364252    1.464744248
    0.650000000    2.812813919    2.812812807    1.464779236
    0.660000000    3.093708918    3.093707807    1.464814773
    0.670000000    3.371077767    3.371076660    1.464850858
    0.680000000    3.643130415    3.643129318    1.464887493
    0.690000000    3.904877920    3.904876846    1.464924676
    0.700000000    4.145862615    4.145861586    1.464962409
    0.710000000    4.346869924    4.346868980    1.465000691
    0.720000000    4.476559236    4.476558436    1.465039524
    0.730000000    4.492194110    4.492193525    1.465078907
    0.740000000    4.354012242    4.354011920    1.465118840
    0.750000000    4.060720275    4.060720177    1.465159325
    0.760000000    3.683814284    3.683814255    1.465200361
    0.770000000    3.344809598    3.344809451    1.465241948
    0.780000000    3.134696480    3.134696105    1.465284087
    0.790000000    3.063825285    3.063824668    1.465326778
    0.800000000    3.081001340    3.081000501    1.465370022
    0.810000000    3.115178209    3.115177163    1.465413819
    0.820000000    3.107772228    3.107770992    1.465458169
    0.830000000    3.039322886    3.039321511    1.465503073
    0.840000000    2.943513687    2.943512269    1.465548530
    0.850000000    2.881986197    2.881984837    1.465594542
    0.860000000    2.891725914    2.891724660    1.465641108
    0.870000000    2.958693152    2.958692004    1.465688229
    0.880000000    3.029378343    3.029377281    1.465735905
    0.890000000    3.030506942    3.030505949    1.465784138
    0.900000000    2.886851568    2.886850632    1.465832926
    0.910000000    2.552879019    2.552878128    1.465882271
    0.920000000    2.061051154    2.061050285    1.465932172
    0.930000000    1.536795428    1.536794551    1.465982631
    0.940000000    1.127779488    1.127778580    1.466033647
    0.950000000    0.910422307    0.910421361    1.466085221
    0.960000000    0.874470031    0.874469056    1.466137354
    0.970000000    0.968972741    0.968971744    1.466190046
    0.980000000    1.142823853    1.142822841    1.466243296
    0.990000000    1.359442817    1.359441796    1.466297107
    1.000000000    1.596527827    1.596526798    1.466351477
    1.010000000    1.841765257    1.841764221    1.466406408
    1.020000000    2.088886855    2.088885813    1.466461899
    1.030000000    2.334919666    2.334918617    1.466517952
    1.040000000    2.578362283    2.578361229    1.466574567
    1.050000000    2.817838279    2.817837221    1.466631744
    1.060000000    3.050804258    3.050803203    1.466689484
    1.070000000    3.271902766    3.271901723    1.466747786
    1.080000000    3.470540915    3.470539906    1.466806652
    1.090000000    3.627430529    3.627429587    1.466866082
    1.100000000    3.710757131    3.710756309    1.466926077
    1.110000000    3.675667002    3.675666370    1.466986637
