    0.0000   -9.7076
    0.0360   -9.6790
    0.0722   -9.5947
    0.1083   -9.4545
    0.1444   -9.2531
    0.1804   -9.0000
    0.2165   -8.6961
    1.3274   -8.3647
    1.3691   -8.7675
    1.4108   -9.1036
    1.4524   -9.3667
    1.4941   -9.5568
    1.5358   -9.6691
    1.5774   -9.7076
    0.2526   -8.3372
    0.2887   -7.9287
    0.3247   -7.4769
    1.2858   -7.8911
    0.3608   -6.9800
    0.3970   -6.4469
    0.4330   -5.8915
    0.4690   -5.3315
    0.5052   -4.8154
    0.5413   -4.4230
    0.5774   -4.2657
    0.5982   -4.2537
    0.6190   -4.2249
    0.6399   -4.1739
    0.6607   -4.1067
    0.6815   -4.0222
    0.7023   -3.9152
    0.7232   -3.7927
    0.7440   -3.6510
    0.7649   -3.4880
    0.7857   -3.3060
    0.8065   -3.1062
    0.8274   -2.8883
    0.8481   -2.6516
    0.8690   -2.3953
    0.8899   -2.1233
    0.9107   -1.8238
    0.9524   -2.4783
    0.9941   -3.1860
    1.0358   -3.9263
    1.0774   -4.6772
    1.1191   -5.4062
    1.1608   -6.1012
    1.2024   -6.7574
    1.2441   -7.3540
    0.3608    3.8093
    0.3970    2.9080
    0.4330    2.0265
    0.4690    1.2100
    0.5052    0.5032
    0.5413   -0.0111
    0.5774   -0.2030
    0.5982   -0.2009
    0.6190   -0.2058
    0.6399   -0.2134
    0.6607   -0.2278
    0.6815   -0.2492
    0.7023   -0.2837
    0.7232   -0.3290
    0.7440   -0.3915
    0.7649   -0.4727
    0.7857   -0.5774
    0.8065   -0.7099
    0.8274   -0.8712
    0.8481   -1.0642
    0.8690   -1.2898
    0.8899   -1.5434
    0.9107   -1.8238
    0.9524   -1.2033
    0.9941   -0.5040
    1.0358    0.2576
    1.0774    1.0708
    1.1191    1.9464
    1.1608    2.8572
    1.2024    3.8078
    0.3247    4.6622
    1.2441    4.7814
    0.2887    5.7012
    1.2858    5.7581
    1.3274    6.7208
    0.2526    6.6681
    0.1804    8.2048
    0.2165    7.4331
    1.3691    7.6405
    0.1444    8.8711
    1.4108    8.4783
    1.4524    9.1933
    0.0360   10.0961
    0.0722    9.8375
    0.1083    9.4262
    1.4941    9.7251
    1.5358   10.0665
    0.0000   10.1825
    1.5774   10.1825
