# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
   15.750000000   -0.402571771   -0.402571791   -0.402571783
   15.850000000   -0.398196668   -0.398196688   -0.398196679
   15.950000000   -0.387270074   -0.387270094   -0.387270086
   16.050000000   -0.362803539   -0.362803559   -0.362803550
   16.150000000   -0.346261211   -0.346261232   -0.346261223
   16.250000000   -0.322928832   -0.322928853   -0.322928844
   16.350000000   -0.312552340   -0.312552361   -0.312552352
   16.450000000   -0.294180239   -0.294180260   -0.294180251
   16.550000000   -0.271603855   -0.271603877   -0.271603868
   16.650000000   -0.250951414   -0.250951436   -0.250951427
   16.750000000   -0.239229928   -0.239229950   -0.239229941
   16.850000000   -0.229420078   -0.229420100   -0.229420091
   16.950000000   -0.220141091   -0.220141113   -0.220141103
   17.050000000   -0.209008708   -0.209008730   -0.209008721
   17.150000000   -0.196030102   -0.196030124   -0.196030115
   17.250000000   -0.178709089   -0.178709111   -0.178709102
   17.350000000   -0.163690759   -0.163690782   -0.163690772
   17.450000000   -0.156594276   -0.156594299   -0.156594289
   17.550000000   -0.144183581   -0.144183604   -0.144183594
   17.650000000   -0.126853135   -0.126853158   -0.126853148
   17.750000000   -0.103056896   -0.103056920   -0.103056910
   17.850000000   -0.092572779   -0.092572803   -0.092572793
   17.950000000   -0.082380332   -0.082380356   -0.082380346
   18.050000000   -0.064156679   -0.064156703   -0.064156693
   18.150000000   -0.045514653   -0.045514677   -0.045514667
   18.250000000   -0.030117693   -0.030117718   -0.030117707
   18.350000000   -0.021403731   -0.021403756   -0.021403746
   18.450000000   -0.023237605   -0.023237631   -0.023237620
   18.550000000   -0.002753267   -0.002753293   -0.002753282
   18.650000000    0.019243276    0.019243250    0.019243261
   18.750000000    0.032282752    0.032282725    0.032282737
   18.850000000    0.041722128    0.041722101    0.041722112
   18.950000000    0.054093348    0.054093321    0.054093332
   19.050000000    0.073443324    0.073443297    0.073443308
   19.150000000    0.087602758    0.087602731    0.087602742
   19.250000000    0.098087067    0.098087039    0.098087051
   19.350000000    0.106902959    0.106902930    0.106902942
   19.450000000    0.115944166    0.115944138    0.115944150
   19.550000000    0.126882268    0.126882239    0.126882252
   19.650000000    0.137689684    0.137689654    0.137689666
   19.750000000    0.145033508    0.145033478    0.145033490
   19.850000000    0.156262799    0.156262768    0.156262781
   19.950000000    0.160093151    0.160093120    0.160093133
   20.050000000    0.170965676    0.170965644    0.170965657
